item_id,name,name_norm,category_id,note,source_id,source_url,fetched_at,updated_at
item_43311862e5ac,アイゼン,アイゼン,nonburnable,,src_web_dict,https://gb.hn-kouiki.jp/nonoichi,2026-01-24T08:16:54,2026-01-24T08:16:54
item_b314c103622c,アイロン,アイロン,nonburnable,,src_web_dict,https://gb.hn-kouiki.jp/nonoichi,2026-01-24T08:16:54,2026-01-24T08:16:54
item_675c97254422,アイロン台,アイロン台,nonburnable,,src_web_dict,https://gb.hn-kouiki.jp/nonoichi,2026-01-24T08:16:54,2026-01-24T08:16:54
item_3dd5122374f6,空き缶,空き缶,can,"食品、飲料用に限ります。
野々市市役所エコステーション
に持ち込むこともできます。",src_web_dict,https://gb.hn-kouiki.jp/nonoichi,2026-01-24T08:16:54,2026-01-24T08:16:54
item_ac3eae3f3f86,空きびん（飲食料・医薬品用）,空きびん(飲食料・医薬品用),bottle,"無色透明・茶色・その他の色に分けてください。
詳しい出し方",src_web_dict,https://gb.hn-kouiki.jp/nonoichi,2026-01-24T08:16:54,2026-01-24T08:16:54
item_eab24abe5dd5,空きびんのふた（金属製）,空きびんのふた(金属製),nonburnable,,src_web_dict,https://gb.hn-kouiki.jp/nonoichi,2026-01-24T08:16:54,2026-01-24T08:16:54
item_6cb0d8dd76e1,アコースティックギター,アコースティックギター,large_burnable,,src_web_dict,https://gb.hn-kouiki.jp/nonoichi,2026-01-24T08:16:54,2026-01-24T08:16:54
item_74197e03cd86,アコーディオンカーテン,アコーディオンカーテン,nonburnable,布、紙製で金属部分がない場合は、「燃える粗大ごみ」へ,src_web_dict,https://gb.hn-kouiki.jp/nonoichi,2026-01-24T08:16:54,2026-01-24T08:16:54
item_f71c8fb7756b,アタッシュケース,アタッシュケース,nonburnable,布・プラスチック製は「一般ごみ」又は「燃える粗大ごみ」へ,src_web_dict,https://gb.hn-kouiki.jp/nonoichi,2026-01-24T08:16:54,2026-01-24T08:16:54
item_af101fadf807,圧着はがき,圧着はがき,burnable,,src_web_dict,https://gb.hn-kouiki.jp/nonoichi,2026-01-24T08:16:54,2026-01-24T08:16:54
